check date,check type,status,message
2024-02-21T07:22,filehash,OK,"FILE=/etc/hosts, OLD_HASH=1463508f28edb4d6d5ae349b20e00409, OLD_HASH_DATE= 2024-02-21 06:27:20.673199, CURRENT_HASH=1463508f28edb4d6d5ae349b20e00409"
2024-02-21T07:22,filehash,OK,"FILE=/etc/ssh/sshd_config, OLD_HASH=23a8a2b1a8f1538be49eb86313367191, OLD_HASH_DATE= 2024-02-20 04:53:54.096016, CURRENT_HASH=23a8a2b1a8f1538be49eb86313367191"
2024-02-21T07:22,filehash,OK,"FILE=/etc/group, OLD_HASH=a32d2ce5c98f6262e11989e2ce141461, OLD_HASH_DATE= 2024-02-20 04:53:54.101349, CURRENT_HASH=a32d2ce5c98f6262e11989e2ce141461"
2024-02-21T07:22,filehash,OK,"FILE=/etc/passwd, OLD_HASH=d5e01e1a884cf82c56430e3f3e49e50b, OLD_HASH_DATE= 2024-02-20 04:53:54.106727, CURRENT_HASH=d5e01e1a884cf82c56430e3f3e49e50b"
2024-02-21T07:22,filehash,FAIL,"FILE=/home/ubuntu/testfile.txt, OLD_HASH=ed8bd064ecdde8ca7adb4acbc90f9d, OLD_HASH_DATE= 2024-02-20 18:11:47.413664, CURRENT_HASH=ed8bd064ecdde8ca7adb4acbc90f9d98"
2024-02-21T07:22,filehash,OK,"FILE=/etc/environment, OLD_HASH=f3377ed52072acbbf4cbb59af03c7fdb, OLD_HASH_DATE= 2024-02-20 04:53:54.111798, CURRENT_HASH=f3377ed52072acbbf4cbb59af03c7fdb"
2024-02-21T07:22,pingcheck,FAIL,"SERVER=123.123.123.123,TIME(MS)=Not found"
2024-02-21T07:22,pingcheck,OK,"SERVER=172.31.83.19,TIME(MS)=0.51"
2024-02-21T07:22,pingcheck,OK,"SERVER=172.31.88.68,TIME(MS)=0.61"
2024-02-21T07:22,pingcheck,OK,"SERVER=nike.com,TIME(MS)=0.46"
2024-02-21T07:22,host-cpu,OK,CPU_LOAD=0.876953125
2024-02-21T07:22,host-disk,OK,DISK_USED=46%
2024-02-21T07:22,host-mem,OK,FREE_MEM=63%
2024-02-21T07:23,filehash,OK,"FILE=/etc/hosts, OLD_HASH=1463508f28edb4d6d5ae349b20e00409, OLD_HASH_DATE= 2024-02-21 06:27:20.673199, CURRENT_HASH=1463508f28edb4d6d5ae349b20e00409"
2024-02-21T07:23,filehash,OK,"FILE=/etc/ssh/sshd_config, OLD_HASH=23a8a2b1a8f1538be49eb86313367191, OLD_HASH_DATE= 2024-02-20 04:53:54.096016, CURRENT_HASH=23a8a2b1a8f1538be49eb86313367191"
2024-02-21T07:23,filehash,OK,"FILE=/etc/group, OLD_HASH=a32d2ce5c98f6262e11989e2ce141461, OLD_HASH_DATE= 2024-02-20 04:53:54.101349, CURRENT_HASH=a32d2ce5c98f6262e11989e2ce141461"
2024-02-21T07:23,filehash,OK,"FILE=/etc/passwd, OLD_HASH=d5e01e1a884cf82c56430e3f3e49e50b, OLD_HASH_DATE= 2024-02-20 04:53:54.106727, CURRENT_HASH=d5e01e1a884cf82c56430e3f3e49e50b"
2024-02-21T07:23,filehash,FAIL,"FILE=/home/ubuntu/testfile.txt, OLD_HASH=ed8bd064ecdde8ca7adb4acbc90f9d, OLD_HASH_DATE= 2024-02-20 18:11:47.413664, CURRENT_HASH=ed8bd064ecdde8ca7adb4acbc90f9d98"
2024-02-21T07:23,filehash,OK,"FILE=/etc/environment, OLD_HASH=f3377ed52072acbbf4cbb59af03c7fdb, OLD_HASH_DATE= 2024-02-20 04:53:54.111798, CURRENT_HASH=f3377ed52072acbbf4cbb59af03c7fdb"
2024-02-21T07:23,pingcheck,FAIL,"SERVER=123.123.123.123,TIME(MS)=Not found"
2024-02-21T07:23,pingcheck,OK,"SERVER=172.31.83.19,TIME(MS)=0.42"
2024-02-21T07:23,pingcheck,OK,"SERVER=172.31.88.68,TIME(MS)=0.59"
2024-02-21T07:23,pingcheck,OK,"SERVER=nike.com,TIME(MS)=0.47"
2024-02-21T07:23,host-cpu,OK,CPU_LOAD=0.44873046875
2024-02-21T07:23,host-disk,OK,DISK_USED=46%
2024-02-21T07:23,host-mem,OK,FREE_MEM=63%
2024-02-21T07:23,filehash,OK,"FILE=/etc/hosts, OLD_HASH=1463508f28edb4d6d5ae349b20e00409, OLD_HASH_DATE= 2024-02-21 06:27:20.673199, CURRENT_HASH=1463508f28edb4d6d5ae349b20e00409"
2024-02-21T07:23,filehash,OK,"FILE=/etc/ssh/sshd_config, OLD_HASH=23a8a2b1a8f1538be49eb86313367191, OLD_HASH_DATE= 2024-02-20 04:53:54.096016, CURRENT_HASH=23a8a2b1a8f1538be49eb86313367191"
2024-02-21T07:23,filehash,OK,"FILE=/etc/group, OLD_HASH=a32d2ce5c98f6262e11989e2ce141461, OLD_HASH_DATE= 2024-02-20 04:53:54.101349, CURRENT_HASH=a32d2ce5c98f6262e11989e2ce141461"
2024-02-21T07:23,filehash,OK,"FILE=/etc/passwd, OLD_HASH=d5e01e1a884cf82c56430e3f3e49e50b, OLD_HASH_DATE= 2024-02-20 04:53:54.106727, CURRENT_HASH=d5e01e1a884cf82c56430e3f3e49e50b"
2024-02-21T07:23,filehash,FAIL,"FILE=/home/ubuntu/testfile.txt, OLD_HASH=ed8bd064ecdde8ca7adb4acbc90f9d, OLD_HASH_DATE= 2024-02-20 18:11:47.413664, CURRENT_HASH=ed8bd064ecdde8ca7adb4acbc90f9d98"
2024-02-21T07:23,filehash,OK,"FILE=/etc/environment, OLD_HASH=f3377ed52072acbbf4cbb59af03c7fdb, OLD_HASH_DATE= 2024-02-20 04:53:54.111798, CURRENT_HASH=f3377ed52072acbbf4cbb59af03c7fdb"
2024-02-21T07:23,pingcheck,FAIL,"SERVER=123.123.123.123,TIME(MS)=Not found"
2024-02-21T07:23,pingcheck,OK,"SERVER=172.31.83.19,TIME(MS)=0.48"
2024-02-21T07:23,pingcheck,OK,"SERVER=172.31.88.68,TIME(MS)=0.59"
